"language","program","status","lang_type","execution_model","source_implemented","ran","source_dir","source_file","toolchain","compiler_or_front_end","compile_backend","runtime_backend","source_bytes","source_gzip_bytes","compile_time_ms","compile_cpu_ms","compile_cpu_pct","compile_peak_ws_kb","exec_startup_ms","exec_time_ms","exec_cpu_ms","exec_cpu_pct","exec_peak_ws_kb","exe_bytes","exe_upx_bytes","runtime_dep_bytes","exe_plus_deps_bytes","requested_as","requested_tool","listed_as","notes"
"C (clang)","hello","implemented","compiled","AOT native","yes","yes","examples\c","examples\c\hello.c","clang 17.0.6","clang -O2","LLVM","native","84","98","225.7","31.2","67.4","15476","3.7","3.7","0","0","2636","110080","53248","","110080","","","","Swift clang targeting windows-msvc; LSD radix 4x8; rerun median n=5 samples=[5.5, 4.1, 3.7, 3.6, 3.7]"
"C (clang)","fibonacci","implemented","compiled","AOT native","yes","yes","examples\c","examples\c\fibonacci.c","clang 17.0.6","clang -O2","LLVM","native","252","173","106.8","15.6","44.8","14140","3.7","3.8","0","0","2636","139776","70656","","139776","","","","Swift clang targeting windows-msvc; LSD radix 4x8; rerun median n=5 samples=[5.0, 3.8, 3.8, 3.6, 3.6]"
"C (clang)","prime_sieve","implemented","compiled","AOT native","yes","yes","examples\c","examples\c\prime_sieve.c","clang 17.0.6","clang -O2","LLVM","native","585","292","126.8","15.6","44.2","13952","3.7","4.8","0","0","2640","140800","70656","","140800","","","","Swift clang targeting windows-msvc; LSD radix 4x8; rerun median n=5 samples=[5.6, 4.9, 4.8, 4.6, 4.6]"
"C (clang)","sorting","implemented","compiled","AOT native","yes","yes","examples\c","examples\c\sorting.c","clang 17.0.6","clang -O2","LLVM","native","1229","353","142.6","31.2","62.6","13244","3.7","9.6","78.1","85.4","7312","141312","70656","","140288","","","","Swift clang targeting windows-msvc; LSD radix 4x8; rerun median n=5 samples=[10.6, 9.3, 9.5, 9.8, 9.6]"
"C# (AOT)","hello","implemented","compiled","AOT native","yes","yes","examples\csharp","examples\csharp\hello\Program.cs",".NET 10 Native AOT","dotnet publish PublishAot","ILCompiler","native","112","116","","","","","7.1","7.1","15.6","42.3","13272","953344","151552","596322892","596474444","","","","JIT/AOT pair; Hello, World!"
"C# (AOT)","fibonacci","implemented","compiled","AOT native","yes","yes","examples\csharp","examples\csharp\fibonacci\Program.cs",".NET 10 Native AOT","dotnet publish PublishAot","ILCompiler","native","271","174","","","","","7.1","7.1","15.6","40.8","13876","955904","151552","596322892","596474444","","","","JIT/AOT pair; 267914296"
"C# (AOT)","prime_sieve","implemented","compiled","AOT native","yes","yes","examples\csharp","examples\csharp\prime_sieve\Program.cs",".NET 10 Native AOT","dotnet publish PublishAot","ILCompiler","native","659","272","","","","","7.1","8.6","46.9","105","18472","954880","151552","596322892","596474444","","","","JIT/AOT pair; Primes up to 1000000: 78498"
"C# (AOT)","sorting","implemented","compiled","AOT native","yes","yes","examples\csharp","examples\csharp\sorting\Program.cs",".NET 10 Native AOT","dotnet publish PublishAot","ILCompiler","native","1248","257","","","","","7.1","15.1","93.8","104.5","21996","956416","151552","596322892","596474444","","","","JIT/AOT pair; Sorted 1000000 integers: first=3842, last=2147480074"
"C++","hello","implemented","compiled","AOT native","yes","yes","examples\cpp","examples\cpp\hello.cpp","MSVC cl 17.14","cl /O2","MSVC C1XX/C2","native","86","101","","","","","3.8","3.8","0","0","2636","209920","92672","","209920","","","","MSVC not Swift clang; rerun median n=5 samples=[8.7, 4.0, 3.7, 3.8, 3.7]"
"C++","fibonacci","implemented","compiled","AOT native","yes","yes","examples\cpp","examples\cpp\fibonacci.cpp","MSVC cl 17.14","cl /O2","MSVC C1XX/C2","native","240","168","","","","","3.8","3.7","0","0","2640","259072","116736","","259072","","","","MSVC not Swift clang; rerun median n=5 samples=[9.1, 5.7, 3.6, 3.6, 3.7]"
